"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2021","313.25","317.65","320.00","312.40","1.85K","-1.80%"
"06/20/2021","319.00","317.45","320.30","314.50","2.36K","0.77%"
"06/13/2021","316.55","318.05","322.00","316.20","2.65K","-0.53%"
"06/06/2021","318.25","322.50","323.65","318.05","4.29K","-1.18%"
"05/30/2021","322.05","312.20","324.55","312.20","2.32K","3.06%"
"05/23/2021","312.50","311.10","313.35","311.00","2.60K","0.32%"
"05/16/2021","311.50","312.00","313.70","307.60","6.37K","-0.06%"
"05/09/2021","311.70","303.05","312.45","303.00","4.67K","2.62%"
"05/02/2021","303.75","307.05","309.00","302.00","3.76K","-3.13%"
"04/25/2021","313.55","310.50","314.95","310.50","0.78K","0.50%"
"04/18/2021","312.00","312.00","312.90","309.00","0.65K","0.00%"
"04/11/2021","312.00","317.80","318.75","311.45","0.87K","-1.76%"
"04/04/2021","317.60","315.55","317.60","315.55","1.04K","0.11%"
"03/28/2021","317.25","314.25","316.50","313.80","1.22K","1.02%"
"03/21/2021","314.05","309.00","314.50","308.20","1.77K","1.39%"
"03/14/2021","309.75","308.85","314.25","308.80","2.02K","-0.02%"
"03/07/2021","309.80","308.95","310.95","304.10","1.95K","0.67%"
"02/28/2021","307.75","302.90","309.90","302.50","3.75K","2.01%"
"02/21/2021","301.69","301.90","303.00","300.65","2.89K","0.06%"
"02/14/2021","301.50","297.70","301.50","297.70","2.01K","1.17%"
"02/07/2021","298.00","297.75","301.50","293.20","5.83K","0.44%"
"01/31/2021","296.70","294.05","300.00","294.05","4.94K","-0.46%"
"01/24/2021","298.07","297.50","298.05","295.70","2.77K","0.26%"
"01/17/2021","297.30","289.45","297.40","286.00","5.18K","2.61%"
"01/10/2021","289.75","282.35","292.35","282.00","5.99K","2.58%"
"01/03/2021","282.45","274.55","283.15","274.55","7.45K","5.47%"
"12/27/2020","267.81","267.10","269.80","265.10","0.91K","0.72%"
"12/20/2020","265.90","260.95","265.95","258.10","4.81K","2.09%"
"12/13/2020","260.45","251.75","261.00","250.55","5.09K","3.52%"
"12/06/2020","251.60","260.10","261.70","250.50","5.78K","-3.04%"
"11/29/2020","259.50","281.70","282.65","260.00","6.67K","-8.00%"
"11/22/2020","282.05","278.95","283.75","278.00","2.77K","1.18%"
"11/15/2020","278.75","289.10","291.90","275.30","7.29K","-3.56%"
"11/08/2020","289.05","293.95","296.95","273.00","12.06K","-1.75%"
"11/01/2020","294.20","284.55","296.45","284.55","5.98K","7.53%"
"10/25/2020","273.60","270.20","273.60","269.95","3.76K","1.18%"
"10/18/2020","270.40","267.00","272.95","266.35","4.29K","1.39%"
"10/11/2020","266.70","258.05","267.15","258.00","5.06K","3.01%"
"10/04/2020","258.90","258.60","262.30","257.50","5.37K","0.06%"
"09/27/2020","258.75","253.20","259.50","253.20","4.18K","2.27%"
"09/20/2020","253.00","249.00","253.10","248.50","1.25K","1.59%"
"09/13/2020","249.05","247.50","250.80","246.85","2.25K","0.75%"
"09/06/2020","247.20","240.95","248.50","240.95","2.06K","2.64%"
"08/30/2020","240.85","231.50","244.40","231.50","3.31K","4.17%"
"08/23/2020","231.20","228.50","232.35","228.50","3.09K","0.76%"
"08/16/2020","229.45","227.45","229.80","227.00","0.91K","0.86%"
"08/09/2020","227.50","224.15","227.70","224.00","1.54K","1.16%"
"08/02/2020","224.90","225.60","227.40","223.40","2.00K","-0.31%"
"07/26/2020","225.59","224.90","225.75","222.70","0.72K","0.96%"
"07/19/2020","223.45","218.85","224.15","218.55","1.82K","2.22%"
"07/12/2020","218.60","217.95","220.80","217.30","1.63K","0.09%"
"07/05/2020","218.40","214.70","220.30","214.30","2.78K","1.68%"
